Results for:	
File:	C:\Users\User\OneDrive - Massachusetts Institute of Technology\Documents\MIT\Grad School\Classes\2.156\Lens Project\Prime Lenses\US05745306-3.zmx
Title:	
Date:	11/7/2025 5:47:21 PM

0 message(s) in output.
3 series table(s) in output.

Table series: Data for wavelength : 0.486133 µm.
        Y Height       Tan Shift       Sag Shift     Real Height     Ref. Height      Distortion
       11.970000     0.084823304      0.15814895       11.977596       11.954162      0.19603263
       12.180000     0.081452005      0.15697206       12.188574       12.163884      0.20297360
       12.390000     0.078056409      0.15578188       12.399596       12.373607      0.21003568
       12.600000     0.074638131      0.15457875       12.610662       12.583329      0.21721892
       12.810000     0.071198793      0.15336303       12.821774       12.793051      0.22452334
       13.020000     0.067740035      0.15213507       13.032933       13.002773      0.23194897
       13.230000     0.064263499      0.15089523       13.244139       13.212495      0.23949586
       13.440000     0.060770843      0.14964388       13.455392       13.422217      0.24716403
       13.650000     0.057263725      0.14838138       13.666695       13.631940      0.25495352
       13.860000     0.053743810      0.14710811       13.878046       13.841662      0.26286438
       14.070000     0.050212773      0.14582444       14.089449       14.051384      0.27089664
       14.280000     0.046672288      0.14453074       14.300902       14.261106      0.27905035
       14.490000     0.043124025      0.14322739       14.512406       14.470828      0.28732554
