File Name,Tan Shift,Sag Shift,Long_0.4861,Long_0.5876,Long_0.6563,Poly,RMS_0.4861,RMS_0.5876,RMS_0.6563,Rel. Ill,Effective F/#
JP1994-029897_Example04P_LensData_20.6_4.5_105,0.19905987,0.19905987,0.19903166,-0.0025360952,0.041488684,0.61355905,0.16258237,0.83467068,0.63738211,1.0,4.718969
JP1996-110467_Example01P_LensData_21.6_1.8_85,-0.1099108,-0.1099108,-0.10991369,-0.0049654413,0.093031088,1.8805754,3.035096,1.0135742,0.60872879,1.0,1.8839602
JP1997-211319_Example01P_LensData_21.6_3.5_180,0.030093428,0.030093428,0.030095011,0.0046933147,0.28911308,0.41301967,0.27339658,0.0075373642,0.66102439,1.0,5.0154476
JP1997-297263_Example01P_LensData_35_2.8_55,-0.062571915,-0.062571915,-0.062587981,0.00043480994,0.087773968,,,,,1.0,2.9246985
JP1998-206729_Example01P_LensData_35_4.5_300,0.077835106,0.077835106,0.07783534,0.0058585136,0.239541,0.3616588,0.22378222,0.035998697,0.58396651,1.0,4.8464465
JP1999-211978_Example01P_LensData_21.6_1.4_35,-0.034698493,-0.034698493,-0.034698819,0.00074766674,0.050330016,,,,,1.0,1.5220712
JP1999-231209_Example01P_LensData,-0.0027709305,-0.0027709305,-0.0027703848,0.00010485826,0.10895232,0.31654685,0.1714554,0.19168256,0.48421748,1.0,2.9639328
JP2000-028919_Example01P_LensData_44.8_8_210,-0.052470985,-0.052470985,-0.052472007,-0.0020387559,0.20834763,0.07657317,0.047562739,0.048021041,0.11411449,1.0,8.5451115
JP2000-275517_Example01_Tale24_LensData_4_NA_NA,0.016252372,0.016252372,0.016250176,-1.5052887e-05,-0.003586496,0.17017008,0.13362819,0.1878385,0.18366755,1.0,3.7004118
JP2000-292689_Example02P_LensData_33.31_2.8_85,-0.086809078,-0.086809078,-0.086815017,-0.0025910208,0.095096312,0.81314944,1.2305152,0.68017011,0.082686188,1.0,2.9800421
JP2001-033704_Example01P_LensData_21.6_3.5_180,0.14179419,0.14179419,0.14180408,-2.6623612e-05,0.10616151,0.93078012,1.3055094,0.41886295,0.84808842,1.0,3.7752535
JP2001-174702_Example01_Tale24_LensData_4.47_NA_NA,-0.03695887,-0.03695887,-0.036953543,-9.8912024e-05,0.067262859,0.16155438,0.10191338,0.084161381,0.24663733,0.99918317,4.4126404
JP2003-005030_Example06_Tale78_LensData_21.6_2.8_45,-0.11663387,-0.11663387,-0.11664936,-9.9431216e-05,0.077461325,1.5458623,2.1591448,1.3435168,0.83793019,1.0,3.0357609
JP2003-185916_Example01P_LensData_34.85_4_120,0.041442975,0.041442975,0.041443071,-0.0043586104,0.082529132,0.23352146,0.08852454,0.025183697,0.39386038,1.0,4.1871642
JP2004-101880_Example02P_LensData_21.6_1.2_35,0.0093374017,0.0093374017,0.009327134,0.031596761,0.06586129,,,,,1.0,1.2990243
JP2005-107261_Example05P_LensData_NA_NA_NA,-118.75972,-118.75972,-118.75972,-119.47713,-119.80245,4.5825745,5.2888628,4.4044366,3.9533323,1.0,49.864093
JP2008-003108_Example01P_LensData_11.3_3.5_8,-0.015612264,-0.015612264,-0.015621508,-6.1971656e-05,0.050512322,0.54570902,0.65114307,0.59577146,0.33832542,1.0,3.6600836
